pickup_hour,day_of_week,weather_condition,pickup_zone,vehicle_type,distance_km,passenger_count,surge_multiplier,fare_amount
5,Thursday,Rainy,Mall,Uber Pool,29.07,2.0,1.15,31.84
21,Friday,Rainy,,UberX,,4.0,1.38,4.19
10,Tuesday,Clear,Downtown,UberXL,3.9,2.0,1.0,10.73
15,Saturday,Rainy,Airport,UberX,8.4,,1.38,20.75
15,Monday,Clear,Downtown,UberXL,16.97,2.0,1.0,29.46
0,Thursday,Clear,Suburb,Uber Black,2.35,2.0,1.0,8.22
8,Thursday,Snowy,University,Uber Pool,1.0,2.0,1.82,5.3
5,Sunday,Rainy,Mall,UberX,5.89,4.0,1.15,10.01
15,Saturday,Clear,Airport,UberX,5.1,2.0,1.2,13.34
2,Saturday,Clear,Mall,UberXL,2.93,4.0,1.2,9.54
19,Wednesday,Rainy,Downtown,UberX,16.57,1.0,1.84,44.7
3,Sunday,Clear,Downtown,UberXL,11.07,1.0,1.0,23.49
18,Friday,Clear,University,UberXL,15.62,3.0,1.92,56.7
2,Wednesday,Clear,Airport,UberX,1.41,3.0,1.0,6.45
18,Sunday,Clear,Airport,Uber Black,9.43,4.0,1.6,45.91
19,Wednesday,Rainy,University,UberX,29.54,2.0,1.84,72.19
6,Friday,Clear,Downtown,Uber Pool,7.57,2.0,1.2,11.69
19,Sunday,Rainy,Downtown,Uber Black,1.5,1.0,,8.81
8,Sunday,Clear,Downtown,Uber Black,43.74,4.0,1.4,149.13
0,Monday,Rainy,Mall,UberX,6.01,2.0,1.15,10.61
7,Wednesday,Snowy,Suburb,Uber Pool,14.66,2.0,1.82,27.86
6,Wednesday,,Downtown,Uber Black,1.29,4.0,1.15,
17,Thursday,Foggy,Suburb,UberX,8.78,3.0,1.6,19.99
7,Friday,Snowy,Suburb,UberX,19.5,4.0,2.18,53.1
0,Tuesday,Clear,Airport,UberX,6.07,4.0,1.0,12.05
10,Monday,Rainy,University,Uber Pool,2.72,2.0,1.15,5.45
17,Sunday,Foggy,Mall,Uber Pool,1.09,1.0,1.6,4.44
22,Sunday,Clear,Suburb,Uber Pool,2.81,2.0,1.0,8.51
9,Sunday,Clear,Mall,Uber Black,3.51,2.0,1.4,12.62
2,Monday,Snowy,Airport,UberX,9.9,2.0,1.3,22.61
6,Sunday,Rainy,Downtown,UberX,1.57,4.0,1.15,4.65
15,Sunday,Clear,Suburb,UberX,1.0,4.0,1.0,3.0
15,Friday,Clear,University,UberX,3.91,2.0,1.2,9.79
19,Saturday,Rainy,Airport,UberXL,4.91,2.0,,23.89
16,Saturday,Clear,Mall,Uber Pool,7.92,1.0,1.2,13.2
1,Thursday,Rainy,Downtown,Uber Pool,9.84,3.0,1.15,12.62
0,Thursday,,Mall,UberX,17.61,2.0,1.15,27.47
15,Sunday,Rainy,University,UberXL,2.73,4.0,1.15,10.46
11,Friday,Clear,Suburb,UberXL,6.02,3.0,1.2,14.83
4,Sunday,Rainy,University,UberX,3.65,3.0,1.15,6.99
4,Thursday,Rainy,Mall,UberXL,1.0,1.0,1.15,3.09
22,Monday,Rainy,Mall,UberX,6.93,3.0,1.15,8.86
8,Monday,Clear,University,Uber Pool,13.53,2.0,1.4,19.93
8,Tuesday,,University,Uber Black,1.0,2.0,1.4,3.69
2,Saturday,Snowy,University,Uber Black,1.0,4.0,1.56,6.14
18,Friday,Clear,Downtown,UberX,10.41,2.0,1.92,28.32
15,Wednesday,Clear,Mall,UberX,9.21,,1.0,13.78
15,Saturday,Clear,Airport,UberX,4.17,1.0,1.2,8.66
2,Wednesday,Foggy,Downtown,Uber Black,8.67,3.0,1.0,22.77
19,Tuesday,Clear,Downtown,Uber Pool,24.53,1.0,1.6,42.21
23,Tuesday,Clear,Downtown,UberX,2.28,3.0,1.0,6.02
21,Sunday,Clear,Airport,Uber Black,2.26,1.0,,6.28
23,Thursday,Rainy,University,UberX,1.65,,1.15,6.12
0,Tuesday,Clear,Mall,UberX,10.3,1.0,1.0,13.31
23,Tuesday,Clear,Suburb,Uber Black,3.49,1.0,1.0,7.9
19,Wednesday,Clear,Suburb,Uber Black,,4.0,,128.41
10,Thursday,Foggy,Mall,UberX,10.03,2.0,1.0,18.18
16,Tuesday,Clear,Airport,UberX,3.66,2.0,1.0,7.72
7,Saturday,Clear,Suburb,UberX,1.29,,1.68,5.26
3,Tuesday,Clear,Downtown,UberX,7.17,4.0,1.0,13.01
5,Thursday,Snowy,Suburb,Uber Pool,2.8,1.0,1.3,4.49
7,Sunday,Rainy,Mall,UberXL,18.87,4.0,1.61,51.58
19,Friday,Snowy,Downtown,UberX,4.66,4.0,2.5,16.63
2,Thursday,Foggy,Suburb,UberX,2.77,3.0,1.0,6.67
15,Wednesday,Clear,Mall,Uber Pool,7.1,3.0,1.0,9.5
2,Friday,Rainy,Airport,Uber Black,1.18,2.0,1.38,7.63
17,Saturday,Clear,Mall,Uber Black,6.6,4.0,1.92,30.64
13,Monday,Rainy,Airport,UberX,1.0,1.0,1.15,7.32
17,Thursday,Clear,Downtown,Uber Pool,7.47,2.0,1.6,14.69
1,Sunday,,Mall,UberX,6.04,2.0,1.0,10.55
21,Wednesday,Snowy,University,UberXL,5.88,2.0,1.3,15.9
2,Saturday,Clear,University,Uber Pool,,4.0,1.2,11.45
15,Friday,Foggy,University,UberX,1.0,4.0,1.2,3.0
8,Saturday,Clear,University,UberX,4.93,1.0,1.68,11.31
3,Thursday,Clear,University,UberX,4.7,1.0,,
0,Tuesday,Foggy,Airport,UberX,4.93,2.0,1.0,9.43
3,Sunday,Rainy,Mall,UberX,31.25,4.0,1.15,45.32
0,Thursday,Rainy,Downtown,Uber Pool,1.2,1.0,1.15,3.55
13,Monday,Clear,University,UberX,9.38,3.0,1.0,15.18
20,Thursday,Clear,University,UberXL,4.11,3.0,1.6,15.57
15,Friday,Rainy,Downtown,Uber Pool,5.74,2.0,1.38,12.06
19,Friday,Rainy,Downtown,Uber Pool,,3.0,2.21,28.06
23,Thursday,,University,UberXL,1.37,2.0,1.0,3.56
7,Friday,Snowy,,UberX,11.54,4.0,2.18,43.39
6,Tuesday,Rainy,Downtown,UberX,1.0,2.0,,3.19
2,Saturday,Foggy,Mall,UberX,5.28,2.0,1.2,10.75
16,Thursday,Rainy,Mall,UberXL,10.84,4.0,1.15,22.87
0,Sunday,Rainy,Airport,UberX,1.71,1.0,,3.98
15,Tuesday,Clear,Suburb,UberX,11.79,1.0,1.0,15.86
11,Saturday,Clear,Airport,UberX,1.46,1.0,1.2,6.0
18,Sunday,Foggy,University,UberXL,12.85,1.0,1.6,36.81
21,Sunday,Clear,Suburb,UberX,5.06,2.0,1.0,12.94
22,Sunday,Clear,University,UberX,9.23,1.0,1.0,13.46
21,Saturday,,Mall,UberX,19.95,3.0,1.2,29.72
13,Tuesday,Clear,Downtown,UberXL,,3.0,1.0,10.0
5,Sunday,Snowy,University,UberXL,2.12,1.0,1.3,
5,Sunday,Foggy,Mall,UberX,16.15,3.0,1.0,19.31
12,Wednesday,Clear,Airport,Uber Black,1.41,3.0,1.0,7.79
18,Thursday,Clear,University,UberX,7.99,4.0,1.6,20.09
21,Saturday,Rainy,Mall,UberX,20.54,4.0,,37.79
7,Saturday,Rainy,Downtown,UberX,8.98,1.0,1.93,25.88
1,Friday,,University,UberXL,1.74,,1.56,6.86
20,Saturday,Rainy,Mall,Uber Black,1.32,2.0,2.21,9.17
0,Tuesday,Clear,University,UberX,2.33,4.0,1.0,5.25
14,Saturday,Clear,Downtown,UberXL,,4.0,1.2,9.93
0,Wednesday,Snowy,University,UberX,,2.0,1.3,7.09
4,Thursday,Rainy,University,Uber Pool,12.79,1.0,1.15,18.3
15,Thursday,Rainy,Mall,Uber Black,3.53,2.0,1.15,12.42
18,Saturday,Clear,Suburb,UberXL,22.0,2.0,1.92,69.44
3,Sunday,Rainy,University,UberXL,14.79,3.0,1.15,31.95
2,Monday,Rainy,Suburb,Uber Pool,19.16,2.0,1.15,21.97
16,Monday,Clear,Airport,Uber Pool,2.79,4.0,1.0,5.35
16,Sunday,Clear,University,UberXL,6.82,1.0,1.0,13.93
11,Sunday,Clear,Suburb,UberX,3.1,2.0,1.0,
13,Sunday,Clear,Airport,UberX,2.38,3.0,,5.61
20,Tuesday,Clear,Mall,UberX,7.47,4.0,1.6,16.63
5,Monday,Clear,University,UberXL,13.63,4.0,1.0,27.37
2,Sunday,Rainy,Mall,UberX,1.0,3.0,1.15,3.0
8,Tuesday,Clear,Airport,Uber Pool,2.58,,1.4,8.25
4,Friday,Clear,Mall,UberX,1.84,3.0,1.2,4.95
23,Tuesday,Foggy,Mall,Uber Black,12.81,4.0,1.0,29.99
16,Monday,Rainy,Downtown,UberX,21.67,4.0,1.15,34.94
13,Saturday,Rainy,Airport,Uber Black,1.0,4.0,1.38,6.46
20,Friday,Clear,Mall,UberX,3.81,4.0,1.92,12.67
2,Monday,,Suburb,UberXL,19.67,3.0,1.15,38.96
0,Tuesday,Clear,Airport,UberX,3.38,2.0,1.0,7.04
19,Wednesday,Foggy,Downtown,UberX,9.98,4.0,1.6,24.61
20,Thursday,Clear,University,Uber Pool,1.0,3.0,1.6,3.87
22,Monday,Rainy,Mall,UberX,4.7,3.0,1.15,9.78
0,Sunday,Clear,Suburb,UberX,5.6,3.0,1.0,9.63
2,Tuesday,Rainy,Downtown,UberX,11.34,2.0,1.15,18.12
17,Sunday,,Airport,Uber Pool,,1.0,1.6,8.47
9,Sunday,,Mall,UberX,2.45,3.0,1.4,4.15
21,Sunday,Clear,Downtown,UberXL,2.89,3.0,1.0,7.44
2,Sunday,,Downtown,UberX,6.49,3.0,1.15,10.84
7,Sunday,Snowy,Suburb,UberX,16.7,2.0,1.82,36.01
13,Friday,Foggy,University,Uber Pool,14.22,4.0,1.2,19.0
23,Monday,Clear,University,UberX,1.0,2.0,1.0,5.01
17,Monday,Clear,University,UberXL,16.89,,1.6,47.85
14,Thursday,Snowy,Airport,UberX,1.0,1.0,1.3,6.45
21,Tuesday,Clear,,UberX,4.29,3.0,1.0,8.16
22,Wednesday,Rainy,Airport,UberXL,11.6,4.0,1.15,30.51
1,Friday,Foggy,Downtown,UberXL,,,1.2,3.35
9,Tuesday,Foggy,Suburb,UberXL,1.0,1.0,1.4,5.61
1,Friday,Clear,Suburb,UberXL,3.2,2.0,1.2,9.45
16,Monday,Clear,Airport,UberX,10.47,2.0,1.0,18.21
7,Sunday,Clear,Airport,UberX,5.9,4.0,1.4,13.46
0,Thursday,Rainy,Suburb,UberX,4.32,2.0,1.15,6.22
8,Thursday,Clear,Mall,Uber Black,13.42,,1.4,45.34
10,Saturday,,University,Uber Black,11.64,1.0,1.2,33.02
21,Wednesday,Clear,University,UberX,12.34,1.0,1.0,20.33
15,Thursday,Clear,Suburb,UberX,4.93,1.0,1.0,7.24
6,Sunday,Rainy,University,UberX,1.0,,1.15,3.5
9,Monday,Rainy,Mall,Uber Pool,1.51,2.0,1.61,8.94
22,Wednesday,Clear,Mall,Uber Black,10.82,2.0,1.0,25.6
2,Tuesday,Clear,Downtown,UberX,11.19,2.0,1.0,
17,Sunday,Foggy,Airport,UberX,28.69,3.0,1.6,73.6
23,Sunday,Clear,University,UberX,1.69,1.0,1.0,3.0
12,Thursday,Rainy,Mall,UberXL,1.05,1.0,,4.01
6,Wednesday,Foggy,Airport,Uber Black,1.2,3.0,1.0,6.04
3,Monday,Clear,Airport,UberX,1.63,1.0,1.0,6.53
12,Saturday,Rainy,Downtown,Uber Pool,6.01,1.0,1.38,11.48
19,Friday,Snowy,Airport,UberXL,29.58,3.0,2.5,156.29
